"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"123","ACTN1",24.060368782325,1.66296137669686,0.550854005214543,3.01887861566728,0.00253712161953221,0.0797219993337456
"124","ACADVL",42.902715048888,-0.805758242475992,0.257495287767809,-3.12921548763473,0.00175273718857254,0.0663136735666934
"125","LLGL2",17.7733774882764,-0.687757243577039,0.312956694144141,-2.1976115432133,0.0279767999303803,0.241765140432757
"126","SMARCE1",44.8213542811492,0.682212387731577,0.307298107674109,2.22003445740403,0.0264164286827928,0.236363130190631
"127","PTGS2",0.972228807963854,-3.91460996465142,1.66850365179682,-2.34618004008307,0.018966943138498,NA
"128","TBX21",10.1726107747668,-2.4493638070268,0.583697175221036,-4.19629203464839,2.71320361788653e-05,0.00657680556975696
"129","ENO1",222.655834352956,-0.569823709882547,0.288839347480905,-1.97280500337724,0.0485177829149821,0.302220903267774
"130","SRI",75.3346334995826,-0.822933015911462,0.284134403642013,-2.89628079304431,0.00377614353999506,0.0997061433261507
"131","EIF4G3",13.4620725576482,-1.18585426707367,0.393661385171513,-3.01237132150263,0.00259215307604821,0.0802621412306314
"132","TTC38",4.0147496684366,-1.63733409131128,0.723134350252103,-2.26421838589255,0.0235606863078524,NA
"133","FNDC3B",13.6660783786825,-0.796024224564871,0.375401301173152,-2.12046208171694,0.0339670960031844,0.25938509675159
"134","ACTB",2619.98857319874,-0.78296019195488,0.318608884025754,-2.45743364736682,0.0139933658019748,0.185789852056267
"135","REXO2",51.688075801351,-0.913563211520917,0.302891177535803,-3.01614335205564,0.00256012193656694,0.080055206363746
"136","STXBP2",37.0721912739866,-0.735798616847866,0.337814579802532,-2.17811385547058,0.0293975613131792,0.245711928810766
"137","FAM76B",28.9722509135467,1.06361758864203,0.301534169390803,3.5273534365637,0.000419736066659833,0.0309655720829741
"138","CAPZB",218.954717908787,-0.503541460869998,0.247706729390778,-2.03281300475136,0.0420714187599951,0.285168163436258
"139","CST7",132.078784908803,-2.4791963818187,0.679329099287348,-3.64947767498773,0.000262774074711668,0.02350044312426
"140","PIAS2",26.3655240610676,0.805779410513151,0.34471677127711,2.33751148088296,0.019412604675465,0.207950174326573
"141","P2RY10",45.4561304556337,0.953566388142628,0.280500074593423,3.39952276135683,0.000675035611230555,0.0409071580405716
"142","VDAC3",50.0142028382903,-0.548446728745909,0.198811129234446,-2.75863192799011,0.00580438707364908,0.125303867513585
"143","SP140",42.7304054906913,-0.542229616425096,0.270024221443084,-2.00807769587214,0.0446350359950818,0.291022033074975
"144","PGM1",12.6006248886432,-0.80649300930497,0.388229422926095,-2.07736189397087,0.0377681704514395,0.273167227715271
"145","KEAP1",7.22899511749474,-1.34343285225171,0.508542607165396,-2.64173116140645,0.00824834987739605,0.150411187640693
"146","RFX3",10.3580364977807,1.57949074963745,0.477268102616859,3.30944125739204,0.000934823801049494,0.0478554847727455
"147","HSP90AA1",676.742539938581,-0.614813440388683,0.276391548135166,-2.22442923648308,0.0261195786211524,0.234993112430389
"148","TCF7",197.432420474753,1.06547970146443,0.249736322786088,4.26641863537437,1.9863589089828e-05,0.00561742299460336
"149","MEF2C",1.1797174757454,-2.41309570819709,1.16209725532812,-2.07650065184583,0.0378476709006605,NA
"150","STK17B",269.096119709251,0.573843143039995,0.257252250682688,2.23066325568444,0.0257034433143516,0.234481734493504
"151","ZNF506",36.2868916174782,0.97831082656144,0.344720634043523,2.83798162902521,0.00453997955611296,0.110364431386998
"152","STRADB",7.73546558947744,-0.980371800037976,0.43230359022089,-2.26778546885777,0.023342285505806,0.225002218033532
"153","KAT6A",73.0289329034453,0.524493116670529,0.245453593187425,2.13683209872602,0.0326116503613293,0.253599671554095
"154","P2RX5",7.47887047230764,-1.70078933312129,0.515412341250265,-3.29986148371145,0.000967325601561794,0.0486255287255018
"155","YTHDC1",100.643469231874,0.529337703204792,0.25037413378297,2.11418685791094,0.0344993108933447,0.260437474524793
"156","SMAP2",184.247380556218,-0.591943552449737,0.270133780780225,-2.19129777379205,0.0284302510643892,0.243509512252931
"157","GSTP1",119.781001317363,-0.434929981335257,0.195454454235073,-2.22522419884157,0.0260661911254711,0.234949385100985
"158","FCN1",10.4800428204479,-1.79316366972508,0.819532254240467,-2.18803306452772,0.0286671939208786,0.243509512252931
"159","PREP",8.99698071520641,-0.789398355278897,0.396098012876092,-1.99293692373518,0.0462683544705978,0.294539648005013
